Iteration,Measured Position,Accepted by Hidden Variable Rule
1,-0.1351,No
2,-1.3764,No
3,0.3153,No
4,0.8959,No
5,-0.5355,No
6,-0.8759,No
7,-0.5656,No
8,-1.5866,No
9,0.6857,No
10,0.2252,No
11,0.0150,Yes
12,-1.0260,No
13,1.2062,No
14,-0.8659,No
15,1.7467,No
16,1.5666,No
17,0.6056,No
18,0.1552,No
19,-0.3954,No
20,0.5956,No
21,-0.0450,No
22,-1.1261,No
23,1.1461,No
24,2.2172,No
25,-0.8058,No
26,-0.1151,No
27,-0.7257,No
28,1.4464,No
29,-1.1662,No
30,1.0961,No
31,0.7658,No
32,1.1962,No
33,1.1862,No
34,-0.9860,Yes
35,0.1351,No
36,0.0450,No
37,-2.1772,No
38,-3.1582,No
39,-0.9860,Yes
40,-1.6366,No
41,-1.4565,No
42,1.0060,Yes
43,-0.9760,No
44,0.0350,No
45,-1.5465,No
46,-0.3954,No
47,0.8859,No
48,0.7558,No
49,-0.3253,Yes
50,-0.7257,No
51,0.1552,No
52,2.2873,No
53,-0.5956,No
54,0.7758,No
55,1.5165,No
56,0.4254,No
57,-0.2152,No
58,-0.0851,No
59,-1.2062,No
60,-0.2252,No
61,-0.4755,No
62,0.5656,No
63,0.5355,No
64,1.3163,No
65,0.8458,No
66,0.7157,No
67,-0.7457,No
68,-0.2753,No
69,-2.1471,No
70,0.2252,No
71,-2.0871,No
72,1.5666,No
73,-1.3964,No
74,0.9960,No
75,0.7157,No
76,-1.8168,No
77,-1.0360,No
78,-0.4955,No
79,1.4565,No
80,1.0360,No
81,-0.8659,No
82,-1.4064,No
83,0.6757,Yes
84,-0.2853,No
85,-0.6156,No
86,0.3353,Yes
87,-0.0751,No
88,0.1151,No
89,-0.2753,No
90,0.5255,No
91,1.1161,No
92,-2.4675,No
93,-0.3053,No
94,1.2863,No
95,0.0350,No
96,-0.4755,No
97,1.0060,Yes
98,-0.9560,No
99,-1.1261,No
100,0.0751,No
101,-1.8268,No
102,0.4454,No
103,-0.2953,No
104,1.4565,No
105,-0.8959,No
106,1.9870,No
107,-2.0671,No
108,-0.5556,No
109,-2.8979,No
110,-2.4875,No
111,-0.6857,No
112,1.2563,No
113,-0.9760,No
114,0.9760,No
115,-1.6867,No
116,1.1361,No
117,-0.6757,No
118,-1.3363,No
119,-0.5255,No
120,1.5065,No
121,-0.6456,No
122,-0.9059,No
123,0.8859,No
124,0.3153,No
125,0.4655,No
126,-0.2553,No
127,-1.5165,No
128,0.4154,No
129,0.7858,No
130,0.2152,No
131,0.2953,No
132,-0.4454,No
133,0.0551,No
134,0.6757,Yes
135,1.3063,No
136,1.0360,No
137,-0.3353,No
138,-0.3754,No
139,-1.0661,No
140,0.3453,Yes
141,-0.3754,No
142,0.8559,No
143,0.1652,No
144,1.2763,No
145,1.0360,No
146,1.2362,No
147,-0.4154,No
148,0.6256,No
149,-0.9359,No
150,1.5365,No
151,-0.5455,No
152,0.4855,No
153,-0.0450,No
154,-1.1461,No
155,-0.8959,No
156,0.4354,No
157,0.3754,No
158,-0.2853,No
159,0.6757,Yes
160,0.2352,No
161,-0.1451,No
162,-1.6466,No
163,-0.7157,No
164,0.0250,No
165,0.1552,No
166,-0.1151,No
167,-3.0480,No
168,0.6657,No
169,-0.4354,No
170,-1.1862,No
171,-1.4464,No
172,-0.8258,No
173,-0.5455,No
174,0.0951,No
175,0.3954,No
176,-0.3153,No
177,0.6857,No
178,1.4164,No
179,0.9660,No
180,0.7157,No
181,-2.3373,No
182,2.2372,No
183,-1.3363,No
184,-0.3554,No
185,-0.3453,No
186,0.3153,No
187,-0.9760,No
188,-1.1662,No
189,-0.1852,No
190,0.5055,No
191,-1.9069,No
192,-0.1752,No
193,0.3153,No
194,-0.4855,No
195,-0.1451,No
196,0.6757,Yes
197,-1.8769,No
198,-1.5966,No
199,0.6056,No
200,0.7758,No
201,-0.6056,No
202,-0.4054,No
203,0.8759,No
204,0.9059,No
205,0.0350,No
206,-0.9059,No
207,-1.4665,No
208,0.6356,No
209,1.5065,No
210,0.0651,No
211,-0.0551,No
212,0.4154,No
213,0.4354,No
214,-0.4254,No
215,-0.5155,No
216,-0.6256,No
217,1.0460,No
218,-1.3063,No
219,-0.9760,No
220,1.4765,No
221,0.5455,No
222,-1.3163,No
223,-0.8859,No
224,-0.9259,No
225,-0.6557,Yes
226,-1.3363,No
227,0.5856,No
228,-1.2963,No
229,-0.0250,No
230,0.0150,Yes
231,-0.6957,No
232,-0.3453,No
233,-0.7057,No
234,0.6657,No
235,1.5766,No
236,1.6166,No
237,0.2953,No
238,0.8959,No
239,-0.2152,No
240,-1.3463,No
241,0.8058,No
242,0.4154,No
243,0.8158,No
244,-0.6857,No
245,1.1461,No
246,1.2663,No
247,0.1652,No
248,0.7457,No
